Country.of.Origin;Variety;Processing.Method;Moisture;Category.One.Defects;Color;Category.Two.Defects;altitude_mean_meters;Cupper.Points
Mexico;Typica;Washed / Wet;0.12;0;Bluish-Green;1;1700;7.83
Taiwan;Typica;Washed / Wet;0.12;0;Bluish-Green;0;1000;7.67
Thailand;Catimor;Natural / Dry;0.12;0;Green;0;1200;8
Colombia;Caturra;Natural / Dry;0.11;0;Green;2;2560;7.83
Guatemala;Caturra;Washed / Wet;0.11;0;Green;4;1500;7.75
Guatemala;Caturra;Washed / Wet;0.1;0;Green;1;1099.4136;7.75
China;Catimor;Natural / Dry;0.1;0;Green;1;1400;7.75
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.83
Colombia;Caturra;Washed / Wet;0.12;4;Green;2;1775;7.75
Colombia;Caturra;Natural / Dry;0.12;3;Green;0;442;7.83
Colombia;Caturra;Washed / Wet;0.11;0;Green;2;1700;7.83
Mexico;Typica;Semi-washed / Semi-pulped;0.12;0;Green;1;1450;7.75
Mexico;Bourbon;Washed / Wet;0.12;0;Green;0;1170;7.75
Mexico;Bourbon;Washed / Wet;0.1;0;Bluish-Green;4;1400;7.83
Guatemala;Bourbon;Washed / Wet;0.13;0;Green;1;1700;7.75
Costa Rica;Caturra;Washed / Wet;0.09;0;Bluish-Green;2;1700;8
Guatemala;Caturra;Washed / Wet;0.11;0;Green;6;1116.7872;7.58
Guatemala;Caturra;Washed / Wet;0.1;0;Green;10;1565;7.67
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;3280;7.83
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;0;1775;7.67
Nicaragua;Caturra;Natural / Dry;0.12;0;Bluish-Green;0;1000;7.83
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1850;7.83
Kenya;SL28;Washed / Wet;0.08;0;Green;0;250.5;7.75
Brazil;Mundo Novo;Natural / Dry;0.11;0;Green;3;1038.5;7.67
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;4;1310.64;7.42
El Salvador;Bourbon;Natural / Dry;0.11;0;Bluish-Green;2;1500;7.92
Colombia;Caturra;Washed / Wet;0;0;Green;2;1750;7.58
Colombia;Caturra;Washed / Wet;0;1;Green;3;442;7.5
Taiwan;Typica;Washed / Wet;0.1;0;Bluish-Green;4;968;7.92
Guatemala;Bourbon;Washed / Wet;0.1;0;Bluish-Green;10;1550;7.67
Mexico;Typica;Washed / Wet;0.11;1;Green;10;1480;7.83
Ethiopia;Gesha;Natural / Dry;0.11;3;Green;1;1800;7.92
Honduras;Caturra;Washed / Wet;0.1;0;Green;5;1500;7.75
Guatemala;Caturra;Washed / Wet;0.12;0;Green;7;1706.88;7.58
Guatemala;Bourbon;Natural / Dry;0.1;0;Green;1;1219.2;7.5
Colombia;Caturra;Natural / Dry;0.12;0;Green;0;1450;7.67
Colombia;Caturra;Washed / Wet;0.12;0;Green;3;1775;8.33
Brazil;Yellow Bourbon;Natural / Dry;0.1;0;Green;0;1260;7.92
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1700;7.67
Kenya;SL34;Washed / Wet;0;0;Green;2;1200;7.67
Kenya;SL28;Washed / Wet;0;0;Bluish-Green;0;1650;7.67
Brazil;Bourbon;Natural / Dry;0;0;Green;3;890;8.5
Mexico;Mundo Novo;Washed / Wet;0.11;0;Green;5;1300;7.83
Thailand;Catimor;Natural / Dry;0.1;0;Bluish-Green;1;1350;7.83
Brazil;Bourbon;Natural / Dry;0.11;0;Green;7;934;7.83
Taiwan;Typica;Washed / Wet;0.11;0;Green;3;1200;7.83
Colombia;Caturra;Washed / Wet;0;0;Green;1;1775;7.58
Taiwan;Typica;Washed / Wet;0.06;0;Green;0;950;7.17
Colombia;Caturra;Natural / Dry;0.12;0;Green;3;1550;7.5
Mexico;Typica;Washed / Wet;0.12;10;Bluish-Green;32;900;7.67
Mexico;Typica;Washed / Wet;0;0;Green;2;1400;7.75
Colombia;Caturra;Washed / Wet;0;1;Green;6;2527;7.75
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1850;7.83
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;6;1500;7.67
Taiwan;Typica;Washed / Wet;0;0;Green;1;525;7.83
Brazil;Bourbon;Semi-washed / Semi-pulped;0;0;Green;1;1200;8.08
Costa Rica;Catuai;Washed / Wet;0.1;0;Green;3;1300;7.67
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1219.2;7.75
Brazil;Yellow Bourbon;Natural / Dry;0.1;0;Green;0;1260;7.75
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1750;7.92
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;3;1310.64;7.67
Mexico;Bourbon;Natural / Dry;0.1;0;Green;2;1218;7.92
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0.12;0;Green;3;1250;7.83
Kenya;SL28;Washed / Wet;0.11;0;Green;2;1800;7.83
Brazil;Bourbon;Natural / Dry;0.11;0;Green;5;890;7.75
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;442;7.75
Taiwan;Typica;Natural / Dry;0;0;Green;0;750;7.75
China;Catimor;Washed / Wet;0.1;0;Green;2;1650;7.75
Colombia;Caturra;Natural / Dry;0;0;Green;0;442;7.75
Uganda;Bourbon;Natural / Dry;0.12;0;Green;0;1400;7.67
Colombia;Caturra;Washed / Wet;0;0;Green;5;1775;7.67
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;1;1750;7.75
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1750;7.58
Guatemala;Caturra;Washed / Wet;0.11;0;Bluish-Green;1;1300;7.75
Brazil;Bourbon;Natural / Dry;0.11;0;Green;2;890;7.83
Kenya;SL28;Washed / Wet;0.11;0;Bluish-Green;0;1700;7.75
Honduras;Caturra;Washed / Wet;0.1;0;Green;2;1400;7.33
Nicaragua;Caturra;Washed / Wet;0.1;0;Green;3;1250;7.5
Brazil;Bourbon;Natural / Dry;0.11;0;Green;3;934;7.83
Taiwan;Caturra;Natural / Dry;0.1;0;Bluish-Green;0;1200;7.75
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;0;1356.6648;7.5
Colombia;Caturra;Washed / Wet;0;0;Green;3;1750;7.58
Colombia;Caturra;Washed / Wet;0;0;Green;1;1900;7.92
Guatemala;Bourbon;Washed / Wet;0.12;1;Green;3;1310.64;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1310.64;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1750;7.83
Guatemala;Caturra;Natural / Dry;0.11;0;Green;1;1450;8
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;13;1310.64;7.5
Mexico;Typica;Washed / Wet;0.12;4;Green;11;1100;7.58
Indonesia;Typica;Washed / Wet;0.12;0;Green;0;1400;7.58
Guatemala;Caturra;Washed / Wet;0.1;0;Green;0;1524;7.83
Brazil;Bourbon;Natural / Dry;0.11;0;Green;5;890;7.92
Guatemala;Caturra;Washed / Wet;0.11;0;Green;0;1128.3696;7.58
China;Catimor;Washed / Wet;0.1;0;Green;4;1100;7.75
Colombia;Caturra;Washed / Wet;0.12;0;Green;3;1775;7.58
Mexico;Caturra;Washed / Wet;0.12;1;Green;13;1200;7.75
Uganda;SL14;Washed / Wet;0.12;0;Green;5;1800;7.67
Colombia;Caturra;Natural / Dry;0;0;Green;0;1600;7.67
Colombia;Caturra;Washed / Wet;0.12;0;Green;1;1550;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.67
Colombia;Caturra;Natural / Dry;0.11;0;Green;4;2136;7.75
Brazil;Catuai;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;2;1100;7.67
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;5;1799;7.58
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1850;7.83
Colombia;Caturra;Natural / Dry;0;0;Green;0;1000;7.58
Guatemala;Bourbon;Washed / Wet;0.1;0;Bluish-Green;5;1219.2;7.58
Colombia;Caturra;Washed / Wet;0.12;0;Green;4;1775;7.75
Tanzania, United Republic Of;Ruiru 11;Washed / Wet;0.13;0;Green;21;1400;7.58
Indonesia;Sumatra;Semi-washed / Semi-pulped;0.13;0;Bluish-Green;8;1500;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1850;7.58
Guatemala;Caturra;Washed / Wet;0.1;0;Green;0;1400;7.75
Honduras;Caturra;Natural / Dry;0.1;0;Green;3;1350;7.83
Colombia;Caturra;Washed / Wet;0;1;Green;1;1750;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;2;1750;7.58
Mexico;Bourbon;Natural / Dry;0.13;0;Green;14;1170;8.42
Mexico;Typica;Semi-washed / Semi-pulped;0.11;0;Green;12;940;7.58
Mexico;Pacamara;Washed / Wet;0.12;0;Green;0;1400;7.83
Guatemala;Caturra;Washed / Wet;0.1;0;Green;5;1524;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1775;7.67
Guatemala;Bourbon;Washed / Wet;0;3;Green;12;1402.08;7.58
Colombia;Caturra;Washed / Wet;0;0;Green;1;439;7.67
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;3;1700;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;2;442;7.67
Costa Rica;Caturra;Washed / Wet;0.09;0;Bluish-Green;4;1850;7.83
